lon,lat
-73.98637574,40.77857091
-73.97339507,40.79714417
-73.98342532,40.78368074
-73.96403763,40.7713627
-73.96472503,40.76906798
-73.9594365,40.77785244
-73.97727186,40.75016782
-73.98124589,40.74965373
-73.97905971,40.74952384
-73.95739357,40.77921539
-73.96648924,40.78979044
-73.98120935,40.74769497
-73.95479675,40.78425328
-73.98682219,40.74223191
-73.98038063,40.74929343
-73.98045193,40.74932332
-73.97261354,40.79659559
-73.96030843,40.75738036
-73.95984819,40.77719415
-73.99986244,40.73105345
-73.99984058,40.73104262
-73.97396476,40.75079103
-73.98276898,40.71544747
-73.96489838,40.77055312
-73.96778923,40.79971577
-73.94690307,40.77151217
-73.95949753,40.77766159
-73.91630089,40.86936424
-73.96677791,40.78931202
-73.97037147,40.76297672
-73.97874451,40.74999109
-73.98174351,40.7440745
-73.99543465,40.7310345
-73.95279517,40.7856647
-73.95172275,40.78719523
-73.97428416,40.79329318
-73.97811462,40.79162126
-73.93564091,40.84071086
-73.98005582,40.71431506
-73.96454618,40.75330975
-73.9455177,40.7744721
-73.9851896,40.76037375
-73.96331142,40.7724965
-73.96647512,40.76815759
-73.97074829,40.78405397
-73.9334291,40.80487705
-73.97959748,40.79037441
-73.99138624,40.73344222
-73.98225289,40.78497429
-73.98223704,40.78235401
-73.98033856,40.74926556
-73.95449048,40.78331056
-73.94656814,40.83733007
-73.98213639,40.75910022
-73.97023797,40.76461341
-73.98425909,40.78298896
-73.9827664,40.78257204
-73.9594048,40.799575
-73.95215022,40.7866462
-73.98267503,40.71570037
-73.95443054,40.82364548
-73.95620002,40.77896401
-73.97112435,40.78338772
-73.96843099,40.76549663
-73.98298219,40.71515018
-73.94685326,40.83478705
-73.98280117,40.76902761
-73.96906415,40.80025326
-73.99927095,40.73181555
-73.92496271,40.86654828
-73.98409276,40.71608865
-73.98905972,40.74471894
-73.97767652,40.75168018
-74.01477032,40.71523434
-74.01479783,40.71513044
-74.01481475,40.71506655
-74.01483789,40.71497912
-74.01486508,40.71487645
-73.96031797,40.81596122
-73.97248301,40.79676301
-73.966249,40.80554071
-73.98533449,40.76021435
-73.96883172,40.80355957
-73.9836943,40.74332282
-73.96713211,40.80581113
-73.98182982,40.74988517
-73.98291542,40.78241927
-73.98031948,40.75086541
-73.98239977,40.76334182
-73.98353447,40.74078065
-73.96786525,40.80449028
-73.95416321,40.82456221
-74.00748743,40.70493023
-73.9703219,40.7590297
-73.98708714,40.75453054
-73.98242816,40.76915848
-73.95210198,40.8236984
-73.95125167,40.77889402
-73.95277512,40.78680756
-73.97573835,40.79107655
-73.94706135,40.82400439
-74.00025504,40.73373212
-73.9360888,40.80281377
-73.97941517,40.75210118
-73.96759166,40.80483064
-73.9731043,40.76079671
-73.99046079,40.73018151
-73.97103622,40.78864519
-73.99048638,40.74534185
-73.97227311,40.74941132
-73.98425281,40.76514301
-73.97516228,40.79202386
-73.96881366,40.80096798
-73.97341433,40.76003603
-73.98193292,40.78283856
-73.97232171,40.79894203
-73.97670495,40.79080959
-73.9780884,40.78820054
-73.97321488,40.79789004
-73.98366672,40.78045822
-73.97623531,40.79329343
-73.95649836,40.7816943
-73.97025657,40.79889641
-73.98723051,40.7395729
-73.91824163,40.86821922
-73.98274756,40.74184187
-73.95251869,40.76899502
-73.98067697,40.78147455
-73.97856601,40.7482336
-73.98852119,40.74530997
-73.98309054,40.74221179
-73.9833255,40.76644483
-73.98684178,40.73297722
-73.98923592,40.77421876
-73.93616319,40.8053821
-73.98846451,40.74829418
-73.98801812,40.74757098
-73.97706267,40.78954261
-73.96674595,40.79541032
-73.9711914,40.79847651
-73.97041489,40.80142458
-73.96785051,40.79892343
-73.97017094,40.75573404
-73.96626526,40.80741221
-73.96855636,40.76251483
-73.97476703,40.76010589
-73.97429724,40.79307999
-73.95887842,40.77739284
-73.9812097,40.744647
-73.93466213,40.85148313
-73.98807692,40.74651811
-73.97798705,40.75406613
-73.95255472,40.76878974
-73.91752268,40.86873444
-73.97986796,40.75125982
-73.9747935,40.75272667
-73.95774676,40.76093341
-73.97132451,40.79723295
-73.9210787,40.86347513
-73.98430079,40.7404397
-73.98840845,40.74605924
-73.92962852,40.86315423
-74.00387141,40.71751053
-73.95243156,40.82323036
-73.95688468,40.78103963
-73.949777,40.77272641
-73.94872631,40.78921727
-73.98512215,40.76947581
-73.94085273,40.80504882
-73.97064399,40.76419108
-73.98091409,40.78607132
-73.98779427,40.75217026
-73.98874905,40.73788252
-73.98942276,40.73969176
-73.97378454,40.75966439
-73.97737178,40.76336222
-73.97379795,40.76108179
-73.94624273,40.7920634
-73.98451706,40.78105667
-73.98930635,40.73678601
-73.972155,40.79908985
-73.97831717,40.75502296
-73.98500989,40.7578463
-73.98512266,40.75767288
-73.97790322,40.75976525
-73.93591038,40.80296536
-73.98519631,40.77819028
-73.98863457,40.77506537
-73.99140135,40.73084072
-73.98065685,40.7890613
-73.99989004,40.73106712
-73.99165222,40.73438427
-73.97979474,40.71481831
-74.01460895,40.7152592
-74.01462315,40.71520263
-74.01463588,40.71515196
-74.01465019,40.71509497
-73.96894235,40.80339822
-73.96823628,40.80413611
-73.98171241,40.7855734
-73.97271368,40.76084647
-73.96946456,40.80279476
-73.95724753,40.77941317
-74.00331234,40.72204475
-73.96567289,40.79348093
-73.96470994,40.79284161
-73.97724094,40.79208039
-73.95709518,40.78286886
-73.99187797,40.72546424
-73.98442295,40.78244002
-73.96632923,40.76809634
-73.98207541,40.78040714
-73.98097715,40.78755221
-73.9784453,40.74779415
-73.96885426,40.76485335
-73.97681304,40.79250229
-73.97675647,40.79268027
-73.99444055,40.73064491
-73.98096153,40.78790064
-73.97320401,40.75510336
-73.96171165,40.80231676
-73.95571128,40.78300187
-73.95583754,40.78284039
-73.99990398,40.73107403
-74.01466469,40.71503722
-73.91303623,40.87148562
-73.98080936,40.78663457
-73.98094506,40.7869147
-73.96855246,40.76412973
-73.97842669,40.75168347
-73.94692285,40.82419046
-73.99317948,40.72161851
-73.99306181,40.72158351
-73.98276239,40.74751464
-73.97551236,40.75390214
-73.95765081,40.82183523
-73.99073631,40.74623821
-73.98851156,40.74448952
-73.98072553,40.78826626
-73.98089329,40.78854004
-73.93674573,40.81878146
-73.95431815,40.81552793
-74.00928872,40.72114962
-73.93723838,40.80995802
-73.9356448,40.85494787
-73.99354427,40.7246681
-73.97900124,40.79118011
-73.94197352,40.79470895
-73.96972925,40.80229932
-73.97712006,40.79056584
-73.9714787,40.79978053
-73.96998763,40.80207219
-73.97001106,40.80208223
