pano_id,lat,lon
VoxTJRZWXtfjoUxN5eq2Ow,40.75470214,-73.98749994
_vZJd8S6aNJQgTMVqrqNsg,40.74834628,-73.99277394
KrpZhKJRQoD3eUV0iel1MQ,40.74321853,-73.99605946
8Yp_3YyXH5KCcnegc0xcDA,40.7451567,-73.99466656
CXIKI5LwgWnmkdYh_qzZhQ,40.74438124,-73.99567014
55imAN5IN0qepmBwqoXZjw,40.75433738,-73.98785394
2ZBEn2xiCKCe9ZBaSoac2Q,40.74828146,-73.99282104
XnhELqozNyouL4SaV50GGQ,40.76413526,-73.98127393
B5kpYZ7P69kkooIzL5nj4w,40.74304424,-73.99619112
h1IE1rMpwqSN4M1DQyXieQ,40.74501575,-73.99520752
f4EtjsbMnSg_w4jSaovBpw,40.75141816,-73.99054322
Okutfzye9IMWDX1-trJ7eQ,40.74743959,-73.99343248
nQ13yjyNl9udsrmcEknAFA,40.75054069,-73.99073148
#NAME?,40.76488109,-73.98027632
4Ca0K1CNlYxyMCrqL4Jq3A,40.7531342,-73.98929734
tkYEiJSsGg_pIGm8iScQzg,40.76257824,-73.98240359
Wr-utVFpZTGCOE4K0uZ3mw,40.73762071,-74.00059794
Zo3W3mBvvbNrz-7LAU5J_g,40.74605545,-73.9939976
z8whVp5hHgyWepHE5Ay64Q,40.75157777,-73.99042695
oNeFF_BAvx0vGXsq-YnPyw,40.73733186,-74.00034941
cOCcftZxshzSBQmKaaNDOg,40.75960024,-73.98412612
UWZ2MQBfCH_xR87nzRoWWw,40.74026129,-73.99821132
w1f8dLbBCcnRVj_bL1k-Ag,40.74788619,-73.99266729
US17_yfdydJjDb89Fb9yjQ,40.74794589,-73.99262362
cwlr0JdxMQKF2f_-UGtmVg,40.75491971,-73.98753864
7c3Cbq-LtCNzMGr8sCBFCw,40.74752962,-73.99336797
uwF7qek9Wtwe4z6lzJLfPw,40.74860177,-73.99213445
pb3Rav5oylHzwglR7ZAyeA,40.7522158,-73.98996358
m_dSu-L8hO4nKITeH45QrA,40.74083196,-73.99825028
RHWL2SYAtS4WFHgu72A2XA,40.75466725,-73.98818145
44auPuUSlvwnBiUmKQviOg,40.74251117,-73.99702448
1d8O9oIFtvjRMLH7_dZLZw,40.74853038,-73.99219329
vm-ENn7k1X4sKTIK_L44xw,40.75148241,-73.99001551
pj89UZS9QUSWfakmV3vsRw,40.73766956,-74.00010455
eGEEJXBoPnY-O7Z_eb7yOg,40.76255859,-73.98184564
87kMzbtbPP18XkyrAzwx7A,40.75218278,-73.98998667
CUrxGJSiZEf22b7gEKM-4g,40.76283259,-73.98227556
9Gm1kSiG_Sx4h7ggyvXOQw,40.76381753,-73.98150648
Sg2lPkKdLZ0kVGMC09ZhvQ,40.75238217,-73.98939488
80GhNifYWhjTXUdanRBY-Q,40.76210586,-73.98275456
CqrntNc-vgZuioT3oAnGfw,40.74623207,-73.99431518
tfUI9Unf3cqcp3ayUVnmNg,40.75932847,-73.98432658
L0aQHDWNGjrVyBXn5FRB3Q,40.74226723,-73.99674644
iaG2hbvcuJN5FckYzVaqOA,40.74815912,-73.99290995
V1ckDsSRSfp0fmiqscyAOw,40.74448393,-73.99559344
3GpRBp-en4mmNJ7ZbE0TkQ,40.74461686,-73.99549443
n1bMv6Td6F95pIeYekMD8A,40.74933756,-73.99215992
Wtuy76gpQJOiiN6Wz-26Xw,40.7462656,-73.99384507
p7113c5Jpfft_hpw0o5Epw,40.82460784,-73.93652598
TMw8zBPwGHEeQhND3rkVKQ,40.76389601,-73.98144905
LGiWmsM-txAmOsP367fBMQ,40.75508738,-73.9874156
jcJHgzV272G-2wTNoszWvA,40.7536346,-73.98848192
XiAafh442ySdbq6Fof0RLA,40.74521623,-73.9946237
s5eLjvh_PW76DEEtzS0Y8A,40.76076979,-73.98373188
3_I95QBc8Df-g_SFQNd2NQ,40.75205381,-73.99008073
uvpZ2XgcL-N3YdLIgLlJjQ,40.76036237,-73.984012
G4qaejyM4CjPTqLjRmuWOw,40.76401625,-73.98136104
Eh9wWD2zGEFzhsFF9qPX-w,40.75190637,-73.99018825
wCTQ2cERa2nn8m2jV1b9Eg,40.75514111,-73.98783771
2SVNWjm9lLSBNTDo5vX3Mw,40.74638771,-73.99375646
2OGrJ5cGgGk6_86iJ5m7CQ,40.74267536,-73.99690414
yKCC4zk4qw6eRx3Zj1bv1w,40.73940241,-73.99885305
Wg-bkyBWPjtiEvmF422bkw,40.74232509,-73.99671154
awvjjXkJF5qSKplDKOiarA,40.74845018,-73.99269843
5hvAsMU0DQJVH7S80pRnOQ,40.76512647,-73.98060831
CCvc3BTr5FRAFoIQ8gaG6g,40.74187334,-73.99749755
Rz1aEe1hf9V34ymqJ3ggOg,40.74262004,-73.99694468
d65EJ8hZC2KmZRFyiCjgQg,40.75263205,-73.98921382
GCymgQuI-CoBSPLPoA-S0Q,40.75442509,-73.98834541
ai66q1mWvcRingMG2Xtm4g,40.76460922,-73.98092943
ujTe5PeszVDs_0BaKmt-iQ,40.74613985,-73.99393634
aLWgPyccP7OP7ROqVV4hng,40.75990164,-73.98391174
Jw_lv2YxvrcVFqjBb_erLg,40.76640493,-73.9796183
9X8qjl8JBQbz18QEVai-LA,40.74633729,-73.99379305
eNG526xn8W-6t33O6OxSLw,40.74080247,-73.99781373
wxNEpsOhULw2Xx4QVNmSNg,40.74313616,-73.99612169
h_pKHlek9iHGmWy15mB51A,40.75325349,-73.98875367
XHnOA4zvEV_NTohQByYXzA,40.74809671,-73.99251329
vpPTTNWZvjIVp4eull1axA,40.75162844,-73.99039004
tqg4vWDfMVGFYQ_Dqw9LFw,40.74143562,-73.99783566
Pa1_uF9hQyH-MgGR-nJzyw,40.75320398,-73.98878192
csVBgo0oS9siRiUQKw3HJg,40.74741548,-73.99301
mLLpRDLwsvl8TCBbXGyzNQ,40.75037287,-73.99085161
gIsJKo1twox4GWQT9Qapvg,40.75529166,-73.98772972
VqpSEOe8ukwQOeoxXs1fmQ,40.7630749,-73.98152365
4czLsefWwdjycxvW-Q1cAw,40.7599968,-73.98384471
423PTEj2BVIubHVTqkGMtA,40.74770955,-73.99323904
4bPdERzIHZyr9FeF_cO4Pw,40.74870148,-73.9920691
tn1uoeWbaKeNbd0WBdhevw,40.74519523,-73.99507681
lakgdXCBuRxzm9PWJU_dsg,40.73969961,-73.99907887
QZGOsCh7KK6T2m56pcUq8w,40.7418153,-73.99753982
W8Vtz3uTyIDmtCI3S6zGVw,40.73916548,-73.99946077
yjkuJzIpnnHVijWaB-ci3g,40.73905819,-73.9995394
qzC_PlMsa9OvPOTSiDca_Q,40.7404542,-73.998524
gKnVRBBKXzBth-alMzCUdQ,40.73900561,-73.99957793
UmmBBk0qmVLeHRLypSxXlw,40.74644675,-73.9937136
0ONxQuLWsvX3P612xiARIA,40.75964273,-73.98408238
v89Ud3uF18mGw1IiYQKZwA,40.76461365,-73.98047189
R90JPNCb13P4dWCJl39n_Q,40.81810277,-73.94199385
5VnhStOa0XffF4EjnNyt0Q,40.74431998,-73.9957159
1RwEpv93A2L9unFxSuNNng,40.73847674,-73.99996158
vcULDVzRwv9jZbawyfKtuA,40.75226441,-73.98992909
caVr9C5US5xEDJ8t27_lYA,40.74260972,-73.99650016
tuxJnkC64nE-hXI8VI_GxA,40.74241391,-73.99708622
mscomrppONlvZ4Fqylk2cA,40.76517119,-73.9805779
_3L5BErySFCrQn5btR0Z0g,40.76005405,-73.98380437
ujAPKGECGH4FqHbYON3dXg,40.76155031,-73.9831548
FR9tvdug86N9a3xR1E2Z-Q,40.7470052,-73.99376687
s-6Albbxm7sZdQX6DiNjVg,40.75470272,-73.98814254
NoBW24sHwflJtxWlr9_yXw,40.76332173,-73.98140681
3naUBBxg90yX_NSW2H_wfw,40.73822822,-74.00014404
S1vl5xQgdgXExZ2Rrbqwmg,40.74596483,-73.99451254
P7Rf9En5hIyuMghazoLyYg,40.76339966,-73.98135019
00ywwqLhaIyq0Q5ufjxJbQ,40.76625446,-73.97927543
yvlhXRSnK1LNnDYnD9dymA,40.76428048,-73.98071483
B_WvK1WCJr0reeCzf1nC0A,40.76406479,-73.9808712
485YaoVNkdG7HVRQJdHsDw,40.74371169,-73.99569551
krv413y3GIy8oGR63w5d5g,40.7436325,-73.99575318
t0MH42uF3uRZ1TBe5hgI4w,40.74340544,-73.99637698
uGy-VpkgIGCXQvb2o1UJcw,40.74366772,-73.99618667
WqHh3srqC11R9LnswKGtTw,40.74345,-73.99589508
wpiOqHoNwsMGu6uymiImrw,40.74010974,-73.99877534
mgCFyfzJWYanS0kUVQbiRg,40.74358939,-73.99624372
4gDv_BNbQwIsfnGc7SmifA,40.74383103,-73.9956086
Jb8YDhcPAyYsEDSlVNkO3A,40.76112014,-73.98301285
HxmhPB1-xhir5vQy0jyt9Q,40.75400467,-73.98865521
XuVQat178Oap8PODFMZ4Pg,40.75395802,-73.98823459
293__dfHfV51u9_wP3hOAA,40.74278071,-73.99682691
8ZL_xtdAAedubM_RHicSKA,40.76043665,-73.98395683
v4PXUbCUrIdRXIYzNqK7BQ,40.75044463,-73.99079282
tKduTygT2rwRUdtOP582cA,40.75473255,-73.98812074
ZotlWRevNivKV4qngLNR6w,40.76104593,-73.98351926
Jf7RP8uDvhLupU73zzi5zw,40.75059546,-73.99069228
GNA_dcLr0JPG2Dk92w7rmg,40.75076399,-73.99056051
5C-uWMDheczZX1oqV6sxwA,40.7456198,-73.99431238
#NAME?,40.7388158,-73.99971705
9wH6PhzZrFE4nPMrNtM6zQ,40.76419323,-73.98123151
w5Xldqmgwv_bUTtC9yK1MA,40.7394791,-73.99923997
j927zv9qoUr-kZGfgmndqQ,40.74764762,-73.99328342
vYQd-aOPwpGYzCT6e1kEfw,40.76070317,-73.98330727
ET6aJzUs9VqGPxS7LJTCVQ,40.74026857,-73.99865945
QFcy57Y2A6j6dJMQQSbCuA,40.74002421,-73.99838288
Q6D_geyC92LOI5J6ktBiQg,40.73985185,-73.99896449
J7nW1jA-HKCHOnt9VMfkFw,40.73965075,-73.99911457
T5Uqf-SpvJKOGfP9VBmWeA,40.7418079,-73.99708266
EVm_qnAW9XOHRQ3MLi0d8g,40.7406805,-73.99791275
Zlk93IeG5LDN9xSBpEjUtA,40.74914594,-73.99167519
pP8zvtm3wdUxWIn4qUiQfw,40.74208421,-73.99733747
Y2Y5GW0FFiyPEhb3I7DpwA,40.76165314,-73.98307548
cSxkpzbruzLp3mmFFiV50w,40.74764499,-73.99284284
bbWgmvxlw2om8cTkgTVorw,40.74050074,-73.9980398
bCEqLcetyGN2jIwcLPx0kg,40.76536314,-73.98036512
dia2JkQx3YInBnXU0pClGA,40.74303962,-73.99664718
5N0D2cKp1vVnByw9hW_Bxw,40.7472659,-73.99312228
c2ga_oHRxNSq0sXaWrkq1w,40.80774139,-73.94890217
BiBZCyG6fHbzHlvuU27OpQ,40.81128086,-73.94631686
DMSYc-uqWR8Og6DsXOtS2g,40.80651884,-73.94979793
RyMncbWf_kZqb1qdJCwz7w,40.75078913,-73.99099243
cH5Ufu8XNGevVQ8mJ4PWQA,40.81132216,-73.94628695
fIVcWrVtOrMQi5C2pLg4Kw,40.81113988,-73.94642539
ON5fZgBSAEJ9JJFkagTo7g,40.81120557,-73.94637783
T4lhINdyyWPh2efPv4exdA,40.74073501,-73.99832036
cqHIcg1O3hI14bEe4aWtrg,40.76657912,-73.97904201
VAMJusCKc3fOnj6Ubj_a-A,40.81821721,-73.94190168
X_TnvCKI-Vu-Q7Ls6txXZg,40.80763221,-73.94964024
ztzbPWLHgH9xPUIdj1HWwQ,40.74700326,-73.99330928
Lcup1SwRT94_qWq7rFISzQ,40.74671067,-73.99352084
Zb4QHcqNFFuk_0DgwmLyjw,40.74974057,-73.99125795
ZoHzSxu-K40Sv83bLaxsRg,40.73739111,-74.00029038
m-MkEf9GDhUK_u5EGunX6g,40.73794629,-73.9998999
z2AAA-gmZFQI1MSPvJ9z_A,40.74031747,-73.99862421
7ZldS8U9kJs91RCBVyQeNQ,40.74417442,-73.99535963
TUkgalAXwszqN65m8PD96g,40.73767551,-74.00055761
zFLS5i6rpL5aLO5yEx-_kQ,40.74803537,-73.99300377
olXZdUTI9rua-8HFVdlPWg,40.73783585,-74.00043963
O7DTfcyj1rR4eoe5P0jA8A,40.74966757,-73.9921439
_v6sYxYPJZlyDbk2usQfyg,40.74980352,-73.99121214
wUlZhvS38sCUPrV-9kpYKQ,40.74999222,-73.99107486
mtOapuLvsclexa_iNNHUMw,40.73801377,-73.99983407
xIGOvuMnDJ3bN57DsVXp6A,40.75262714,-73.98965827
cGW-aVnLXlz5XJ5uwSkghA,40.7613507,-73.9832961
7saaRpoDCowYdNquHIkmnw,40.73941614,-73.99928222
crjQIXLXrBm9Jrp4-BHMxw,40.76333677,-73.98185645
FU0E7FFxDnvtFUw2GIXG1w,40.76339887,-73.98179088
zDVtAJwhGbRuhpOMQAzqKg,40.76357465,-73.9816638
Ew7hL9Ysx0yHrlnkC2VxAg,40.73978439,-73.99901368
ZCN-B1Ve9GCKVAlmFBHaOA,40.7555805,-73.98704577
GS0QSlzf1Ob7ZTzRPpnfJg,40.759533,-73.98463706
#NAME?,40.75943507,-73.98473078
3pGiFVKo3HIu1vMysgJqow,40.75965152,-73.98454254
mnLHygreoxvh7D5qMEMPVg,40.75982584,-73.98441445
coZHRRR1XNr6sEKHkbNvUQ,40.75977445,-73.98445221
ZVBrlgYL_89nWnI3DQ55fA,40.76585436,-73.97956137
x1eEGNXnPa6oVWPR4480gQ,40.76582958,-73.98003446
32vULHDyUmrWIIeQMEqSgA,40.76607356,-73.97985763
h55xwTukZbaPcecgVOtPAA,40.76596035,-73.97993968
ITtJQ6CYuVIZN7wXe9HtAg,40.7656796,-73.97969948
08k03_gpcqrhAUcx1ql6RQ,40.80678535,-73.94959703
dMnnAnq-ytQBVV1cVij7rQ,40.80254181,-73.95361113
yOKPSOPfHJ9BlT10Y0b-QQ,40.80670406,-73.9496647
IPgsCk30P8Y0RZ334KixXw,40.73662515,-74.00084446
vHYdQkAq-HaXccOs1y47MQ,40.73694374,-74.00061587
6VFU20y2-1klHRccMi5lLg,40.73699733,-74.00057742
LkiBvqN_-Teo8qLpXGsJGA,40.73704201,-74.00054536
V88_Gs4MdjUrCJQsUF0TAw,40.73678364,-74.00073074
f8x63-pMzjuwtpIvvcrDjg,40.75000759,-73.99189578
